model_key,relation_key,n_errors,A,B,C,non_A,plausibility_rate,rubric,linearity_score
gemma_7b_it,company_ceo,167,107,60,0,60,0.6407185628742516,ABC,0.4027990704041456
gemma_7b_it,company_hq,273,218,53,2,55,0.7985347985347986,ABC,0.5899294711417709
gemma_7b_it,landmark_in_country,276,213,63,0,63,0.7717391304347826,AB,0.7481843690658686
gemma_7b_it,landmark_on_continent,594,551,43,0,43,0.9276094276094277,AB,0.8246669281927428
gemma_7b_it,person_father,126,99,27,0,27,0.7857142857142857,AB,0.4374286202603847
gemma_7b_it,person_mother,125,88,37,0,37,0.704,AB,0.4055178433027442
gemma_7b_it,person_occupation,576,499,77,0,77,0.8663194444444444,AB,0.7497993870876819
gemma_7b_it,person_plays_instrument,285,285,0,0,0,1.0,AB,0.7940110360610797
gemma_7b_it,person_plays_position_in_sport,681,584,97,0,97,0.8575624082232012,AB,0.7781704503409173
gemma_7b_it,person_plays_pro_sport,59,58,1,0,1,0.9830508474576272,AB,0.8210438561941075
gemma_7b_it,person_university,64,62,2,0,2,0.96875,AB,0.6488178350418946
gemma_7b_it,product_by_company,194,176,18,0,18,0.9072164948453608,AB,0.7302725943876083
gemma_7b_it,star_constellation,119,119,0,0,0,1.0,AB,0.7448474555446416
gemma_7b_it,superhero_archnemesis,78,30,47,1,48,0.38461538461538464,ABC,0.4583037843316046
gemma_7b_it,superhero_person,57,31,23,3,26,0.543859649122807,ABC,0.4872394232908748
llama3_1_8b_instruct,company_ceo,132,96,36,0,36,0.7272727272727273,ABC,0.5264820672369297
llama3_1_8b_instruct,company_hq,171,133,38,0,38,0.7777777777777778,ABC,0.7209460786171593
llama3_1_8b_instruct,landmark_in_country,92,89,3,0,3,0.967391304347826,AB,0.7806240062939425
llama3_1_8b_instruct,landmark_on_continent,190,140,50,0,50,0.7368421052631579,AB,0.81881316071209
llama3_1_8b_instruct,person_father,434,301,133,0,133,0.6935483870967742,AB,0.4886919429643757
llama3_1_8b_instruct,person_mother,612,399,213,0,213,0.6519607843137255,AB,0.464830571829115
llama3_1_8b_instruct,person_occupation,317,313,4,0,4,0.9873817034700315,AB,0.8031017116701883
llama3_1_8b_instruct,person_plays_instrument,179,176,3,0,3,0.9832402234636871,AB,0.815441149564639
llama3_1_8b_instruct,person_plays_position_in_sport,156,123,33,0,33,0.7884615384615384,AB,0.8419199543262547
llama3_1_8b_instruct,person_plays_pro_sport,18,17,1,0,1,0.9444444444444444,AB,0.8291230805460323
llama3_1_8b_instruct,person_university,56,49,7,0,7,0.875,AB,0.6694244885082449
llama3_1_8b_instruct,product_by_company,107,94,13,0,13,0.8785046728971962,AB,0.7744295927312469
llama3_1_8b_instruct,star_constellation,83,79,4,0,4,0.9518072289156626,AB,0.7494317740844645
llama3_1_8b_instruct,superhero_archnemesis,58,40,16,2,18,0.6896551724137931,ABC,0.510826143509583
llama3_1_8b_instruct,superhero_person,36,24,8,4,12,0.6666666666666666,ABC,0.5745610251540723
mistral_7b_instruct,company_ceo,108,84,24,0,24,0.7777777777777778,ABC,0.4594821638238734
mistral_7b_instruct,company_hq,193,154,39,0,39,0.7979274611398963,ABC,0.6327178529753611
mistral_7b_instruct,landmark_in_country,111,85,26,0,26,0.7657657657657657,AB,0.7412074206797108
mistral_7b_instruct,landmark_on_continent,335,299,36,0,36,0.8925373134328358,AB,0.7773768162344281
mistral_7b_instruct,person_father,489,344,145,0,145,0.7034764826175869,AB,0.4442035500411187
mistral_7b_instruct,person_mother,571,371,200,0,200,0.649737302977233,AB,0.4245476092541797
mistral_7b_instruct,person_occupation,382,358,24,0,24,0.93717277486911,AB,0.7547059552145247
mistral_7b_instruct,person_plays_instrument,205,200,5,0,5,0.975609756097561,AB,0.7672166413092533
mistral_7b_instruct,person_plays_position_in_sport,346,280,66,0,66,0.8092485549132948,AB,0.7699522164641337
mistral_7b_instruct,person_plays_pro_sport,25,22,3,0,3,0.88,AB,0.8184956242398208
mistral_7b_instruct,person_university,60,51,9,0,9,0.85,AB,0.5741462889185338
mistral_7b_instruct,product_by_company,117,112,5,0,5,0.9572649572649573,AB,0.7346766676198898
